1,가나의 수도는 아크라 이다,1
2,가봉의 수도는 조지타운 이다,2
3,감비아의 수도는 반줄 이다,1
4,괌의 수도는 하갓냐 이다,1
5,과테말라의 수도는 과테말라시티 이다,2
6,나이지리아의 수고는 아부지 다,2
7,뉴질랜드의 수도는 웰링턴 이다,1
8,니카라과의 수도는 마나과 이다,1
9,도미니카의 수도는 산토도밍고 이다,2
10,동티모르의 수도는 딜리 이다,1
11,라오스의 수도는 비엔티안 이다,1
12,라트비아의 수도는 가리 이다,2
13,레바논의 수도는 베이루트 이다,1
14,루마니아의 수도는 슈쿠레부티 이다,2
15,룩셈부르크의 수도는 룩셈부르크가 아니다,2
16,르완다의 수도는 키갈리 이다,1
17,리비아의 수도는 프렘폴린 이다,2
18,리투아니아의 수도는 빌뉴스 이다,1
19,마다가스카르의 수도는 안타나리보나 이다,2
20,마케도니아 공화국의 수도는 스코페 이다,1
21,말레이시아의 수도는  쿠알룸라푸르 이다,2
22,모나코의 수도는 모나코 이다,1
23,모잠비크의 수도는 마투푸 이다,2
24,몰도바의 수도는 말레 이다,2
25,몰디브의 수도는 키시너우 이다,2
26,몰타의 수도는  발레타 이다,1
27,미얀마의 수도는 네피도 이다,1
28,바누아투의 수도는 포트나빌라 이다,2
29,바레인의 수도는  마나마 이다,1
30,바티칸 시국의 수도는  바티칸 이다,1
31,바하마의 수도는 나소 이다,1
32,방글라데시의 수도는 자카르타 이다,2
33,베네수엘라의 수도는  키라키스 이다,2
34,보츠나와의 수도는  가보로네 이다,1
35,부르키나파소의 수도는  와가두구 이다,1
36,불가리아의 수도는 불가리스 이다,2
37,브루나의의 수도는  반다르스리브가완 이다,1
38,사우디아라비아의 수도는 사우디아라비아 이다,2
39,산마리노의 수도는  바스테르 이다,2
40,세네갈의 수도는  다카르 가 아니다,2
41,세르비아의 수도는  베오그라드 이다,1
42,세인트루시아의 수도는  캐스트리스 이다,1
43,소말리아의 수도는  모가디슈 이다,1
44,솔로몬 제도의 수도는 하르게이사 이다,2
45,수단의 수도는  하르쇼 이다,2
46,수리남의 수도는  파라마리보 이다,1
47,슬로바키아의 수도는  브라티슬라바 이다,1
